,Epoch,Loss,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score
0,0,0.6736694574356079,43.0,326,87,34,1,0.054527197627398105,0.2655454212334078,0.7299107142857143,0.011363636363636364,0.02857142857142857,0.016260162601626018,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
1,0,0.6736694574356079,96.0,875,0,66,0,0.05639335351355086,0.2655454212334078,0.9298618490967057,,0.0,,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
2,0,0.6736694574356079,115.0,478,0,35,0,0.05828476773622848,0.2655454212334078,0.9317738791423001,,0.0,,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
3,0,0.6736694574356079,80.0,16,337,33,400,0.5686850991485459,0.2655454212334078,0.5292620865139949,0.5427408412483039,0.9237875288683602,0.6837606837606836,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
4,0,0.6736694574356079,109.0,684,0,77,0,0.07402165877091996,0.2655454212334078,0.8988173455978975,,0.0,,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
5,0,0.6736694574356079,107.0,5,637,0,174,0.18923235640307176,0.2655454212334078,0.2193627450980392,0.21454993834771888,1.0,0.3532994923857868,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
6,0,0.6736694574356079,48.0,0,318,4,31,0.13905020880814048,0.2655454212334078,0.08781869688385269,0.08882521489971347,0.8857142857142857,0.16145833333333331,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
7,0,0.6736694574356079,92.0,6,405,3,187,0.3438751106008946,0.2655454212334078,0.3211314475873544,0.3158783783783784,0.9842105263157894,0.4782608695652174,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
8,0,0.6736694574356079,120.0,598,0,28,0,0.19606621859722084,0.2655454212334078,0.9552715654952076,,0.0,,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
9,0,0.6736694574356079,64.0,537,20,52,11,0.24016092149800816,0.2655454212334078,0.8838709677419355,0.3548387096774194,0.1746031746031746,0.2340425531914894,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
10,0,0.6736694574356079,52.0,1002,0,42,0,0.07320089826948548,0.2655454212334078,0.9597701149425287,,0.0,,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
11,0,0.6736694574356079,59.0,197,59,44,9,0.15454985286249237,0.2655454212334078,0.6666666666666666,0.1323529411764706,0.16981132075471697,0.1487603305785124,0.7082374008697877,0.3038116591928251,0.6604386677497969,0.4161760941899156
12,1,0.8559417724609375,43.0,0,413,0,35,0.04540147994467785,0.26698899598043824,0.078125,0.078125,1.0,0.14492753623188406,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
13,1,0.8559417724609375,96.0,15,860,1,65,0.06687328025797,0.26698899598043824,0.08501594048884166,0.07027027027027027,0.9848484848484849,0.1311806256306761,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
14,1,0.8559417724609375,115.0,0,478,0,35,0.061373444578934594,0.26698899598043824,0.0682261208576998,0.0682261208576998,1.0,0.12773722627737227,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
15,1,0.8559417724609375,80.0,0,353,0,433,0.6167565774477972,0.26698899598043824,0.5508905852417303,0.5508905852417303,1.0,0.7104183757178015,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
16,1,0.8559417724609375,109.0,168,516,17,60,0.08349549788340377,0.26698899598043824,0.2996057818659658,0.10416666666666667,0.7792207792207793,0.18376722817764168,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
17,1,0.8559417724609375,107.0,0,642,0,174,0.1747863178703002,0.26698899598043824,0.21323529411764705,0.21323529411764705,1.0,0.3515151515151515,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
18,1,0.8559417724609375,48.0,0,318,0,35,0.1222716561921863,0.26698899598043824,0.09915014164305949,0.09915014164305949,1.0,0.18041237113402062,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
19,1,0.8559417724609375,92.0,0,411,0,190,0.3349054814850945,0.26698899598043824,0.3161397670549085,0.3161397670549085,1.0,0.4804045512010114,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
20,1,0.8559417724609375,120.0,0,598,0,28,0.12598759873151508,0.26698899598043824,0.04472843450479233,0.04472843450479233,1.0,0.08562691131498472,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
21,1,0.8559417724609375,64.0,0,557,0,63,0.1999066633117208,0.26698899598043824,0.10161290322580645,0.10161290322580645,1.0,0.18448023426061494,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
22,1,0.8559417724609375,52.0,0,1002,0,42,0.06668480023253014,0.26698899598043824,0.040229885057471264,0.040229885057471264,1.0,0.07734806629834255,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
23,1,0.8559417724609375,59.0,0,256,0,53,0.1565139084988156,0.26698899598043824,0.1715210355987055,0.1715210355987055,1.0,0.292817679558011,0.178562292146329,0.15924904818169883,0.9853777416734363,0.27418625678119346
24,2,0.7248841524124146,43.0,11,402,6,29,0.046792541115491894,0.27254788102006355,0.08928571428571429,0.06728538283062645,0.8285714285714286,0.12446351931330472,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
25,2,0.7248841524124146,96.0,872,3,66,0,0.0713076478514356,0.27254788102006355,0.926673751328374,0.0,0.0,,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
26,2,0.7248841524124146,115.0,435,43,31,4,0.06192321417189449,0.27254788102006355,0.8557504873294347,0.0851063829787234,0.11428571428571428,0.09756097560975609,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
27,2,0.7248841524124146,80.0,0,353,0,433,0.6510304316540408,0.27254788102006355,0.5508905852417303,0.5508905852417303,1.0,0.7104183757178015,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
28,2,0.7248841524124146,109.0,683,1,77,0,0.09540387226874719,0.27254788102006355,0.897503285151117,0.0,0.0,,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
29,2,0.7248841524124146,107.0,0,642,0,174,0.17549370909277412,0.27254788102006355,0.21323529411764705,0.21323529411764705,1.0,0.3515151515151515,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
30,2,0.7248841524124146,48.0,0,318,3,32,0.14818148407547582,0.27254788102006355,0.0906515580736544,0.09142857142857143,0.9142857142857143,0.16623376623376623,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
31,2,0.7248841524124146,92.0,0,411,0,190,0.4249483529000641,0.27254788102006355,0.3161397670549085,0.3161397670549085,1.0,0.4804045512010114,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
32,2,0.7248841524124146,120.0,554,44,22,6,0.13977248686365418,0.27254788102006355,0.8945686900958466,0.12,0.21428571428571427,0.15384615384615383,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
33,2,0.7248841524124146,64.0,75,482,10,53,0.25114655736080865,0.27254788102006355,0.2064516129032258,0.09906542056074766,0.8412698412698413,0.17725752508361203,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
34,2,0.7248841524124146,52.0,816,186,26,16,0.06774592691972389,0.27254788102006355,0.7969348659003831,0.07920792079207921,0.38095238095238093,0.13114754098360656,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
35,2,0.7248841524124146,59.0,0,256,0,53,0.28800718569757744,0.27254788102006355,0.1715210355987055,0.1715210355987055,1.0,0.292817679558011,0.5674085443847532,0.23965141612200436,0.8042242079610074,0.3692651995524058
