,Epoch,Loss,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score
0,0,0.27487924695014954,43.0,404,5,5,34,0.9320634624522637,0.6767715378417781,0.9776785714285714,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
1,0,0.27487924695014954,109.0,619,71,6,65,0.8001107180261336,0.6767715378417781,0.8988173455978975,0.47794117647058826,0.9154929577464789,0.6280193236714976,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
2,0,0.27487924695014954,92.0,344,68,5,184,0.7196494105072012,0.6767715378417781,0.8785357737104825,0.7301587301587301,0.9735449735449735,0.8344671201814058,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
3,0,0.27487924695014954,96.0,741,120,14,66,0.7665999503145581,0.6767715378417781,0.8575982996811902,0.3548387096774194,0.825,0.4962406015037594,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
4,0,0.27487924695014954,52.0,953,55,11,25,0.41294961693100535,0.6767715378417781,0.9367816091954023,0.3125,0.6944444444444444,0.4310344827586207,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
5,0,0.27487924695014954,80.0,186,181,3,416,0.9368537427556525,0.6767715378417781,0.7659033078880407,0.6968174204355109,0.9928400954653938,0.8188976377952755,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
6,0,0.27487924695014954,64.0,515,50,7,48,0.6724984868455054,0.6767715378417781,0.9080645161290323,0.4897959183673469,0.8727272727272727,0.6274509803921569,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
7,0,0.27487924695014954,59.0,229,25,4,51,0.7673974008134905,0.6767715378417781,0.9061488673139159,0.6710526315789473,0.9272727272727272,0.7786259541984732,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
8,0,0.27487924695014954,120.0,551,47,2,26,0.5278823351085519,0.6767715378417781,0.9217252396166135,0.3561643835616438,0.9285714285714286,0.5148514851485149,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
9,0,0.27487924695014954,115.0,435,38,6,34,0.637641568344072,0.6767715378417781,0.9142300194931774,0.4722222222222222,0.85,0.6071428571428571,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
10,0,0.27487924695014954,107.0,585,60,4,167,0.9183676808556192,0.6767715378417781,0.9215686274509803,0.73568281938326,0.9766081871345029,0.8391959798994977,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
11,0,0.27487924695014954,48.0,246,73,7,27,0.5202508621951478,0.6767715378417781,0.773371104815864,0.27,0.7941176470588235,0.4029850746268657,0.8891020721412126,0.5903925619834711,0.9391947411668036,0.725023786869648
12,1,0.27933257818222046,43.0,402,7,3,36,0.920271398915754,0.6904185473556963,0.9776785714285714,0.8372093023255814,0.9230769230769231,0.878048780487805,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
13,1,0.27933257818222046,109.0,606,84,5,66,0.8007185518161866,0.6904185473556963,0.8830486202365309,0.44,0.9295774647887324,0.5972850678733032,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
14,1,0.27933257818222046,92.0,345,67,4,185,0.7178610906086894,0.6904185473556963,0.8818635607321131,0.7341269841269841,0.9788359788359788,0.8390022675736962,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
15,1,0.27933257818222046,96.0,745,116,14,66,0.7660776762755479,0.6904185473556963,0.8618490967056323,0.3626373626373626,0.825,0.5038167938931297,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
16,1,0.27933257818222046,52.0,949,59,8,28,0.4163634533531055,0.6904185473556963,0.935823754789272,0.3218390804597701,0.7777777777777778,0.45528455284552843,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
17,1,0.27933257818222046,80.0,190,177,1,418,0.9350372860940479,0.6904185473556963,0.7735368956743003,0.7025210084033613,0.9976133651551312,0.824457593688363,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
18,1,0.27933257818222046,64.0,467,98,6,49,0.6936841734620045,0.6904185473556963,0.832258064516129,0.3333333333333333,0.8909090909090909,0.48514851485148514,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
19,1,0.27933257818222046,59.0,231,23,4,51,0.7922140975879908,0.6904185473556963,0.912621359223301,0.6891891891891891,0.9272727272727272,0.7906976744186047,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
20,1,0.27933257818222046,120.0,564,34,3,25,0.5262890943579854,0.6904185473556963,0.9408945686900958,0.423728813559322,0.8928571428571429,0.5747126436781609,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
21,1,0.27933257818222046,115.0,436,37,8,32,0.6446487654553078,0.6904185473556963,0.9122807017543859,0.463768115942029,0.8,0.5871559633027522,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
22,1,0.27933257818222046,107.0,596,49,6,165,0.9269831825846302,0.6904185473556963,0.9325980392156863,0.7710280373831776,0.9649122807017544,0.8571428571428571,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
23,1,0.27933257818222046,48.0,281,38,12,22,0.51427567868195,0.6904185473556963,0.8583569405099151,0.36666666666666664,0.6470588235294118,0.46808510638297873,0.8896137119467895,0.5916149068322981,0.9391947411668036,0.7259447443632899
24,2,0.22210873663425446,43.0,403,6,6,33,0.9266867779385856,0.6932116889828197,0.9732142857142857,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
25,2,0.22210873663425446,109.0,635,55,7,64,0.794656969573882,0.6932116889828197,0.9185282522996058,0.5378151260504201,0.9014084507042254,0.6736842105263158,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
26,2,0.22210873663425446,92.0,350,62,5,184,0.7277937881504688,0.6932116889828197,0.8885191347753744,0.7479674796747967,0.9735449735449735,0.8459770114942528,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
27,2,0.22210873663425446,96.0,806,55,16,64,0.7650445769009164,0.6932116889828197,0.924548352816153,0.5378151260504201,0.8,0.6432160804020101,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
28,2,0.22210873663425446,52.0,972,36,12,24,0.4123907475991958,0.6932116889828197,0.9540229885057471,0.4,0.6666666666666666,0.5,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
29,2,0.22210873663425446,80.0,204,163,9,410,0.9392123056185977,0.6932116889828197,0.7811704834605598,0.7155322862129145,0.9785202863961814,0.8266129032258066,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
30,2,0.22210873663425446,64.0,509,56,6,49,0.7171912731527528,0.6932116889828197,0.9,0.4666666666666667,0.8909090909090909,0.6125,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
31,2,0.22210873663425446,59.0,233,21,4,51,0.8045646927077372,0.6932116889828197,0.919093851132686,0.7083333333333334,0.9272727272727272,0.8031496062992126,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
32,2,0.22210873663425446,120.0,580,18,7,21,0.5731248457216578,0.6932116889828197,0.9600638977635783,0.5384615384615384,0.75,0.6268656716417911,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
33,2,0.22210873663425446,115.0,452,21,9,31,0.675206413468559,0.6932116889828197,0.9415204678362573,0.5961538461538461,0.775,0.6739130434782609,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
34,2,0.22210873663425446,107.0,610,35,7,164,0.924620923400872,0.6932116889828197,0.9485294117647058,0.8241206030150754,0.9590643274853801,0.8864864864864864,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
35,2,0.22210873663425446,48.0,260,59,8,26,0.5310648603322232,0.6932116889828197,0.8101983002832861,0.3058823529411765,0.7647058823529411,0.4369747899159664,0.9126375031977488,0.6563231850117096,0.9211175020542317,0.7664957264957265
36,3,0.22630256414413452,43.0,404,5,6,33,0.9269545266471766,0.6754359305609902,0.9754464285714286,0.868421052631579,0.8461538461538461,0.8571428571428572,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
37,3,0.22630256414413452,109.0,628,62,6,65,0.7946482567290014,0.6754359305609902,0.9106438896189225,0.5118110236220472,0.9154929577464789,0.6565656565656565,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
38,3,0.22630256414413452,92.0,354,58,5,184,0.7213742218763151,0.6754359305609902,0.8951747088186356,0.7603305785123967,0.9735449735449735,0.8538283062645011,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
39,3,0.22630256414413452,96.0,788,73,16,64,0.7454953283239517,0.6754359305609902,0.9054197662061636,0.46715328467153283,0.8,0.5898617511520737,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
40,3,0.22630256414413452,52.0,966,42,11,25,0.4184392053512416,0.6754359305609902,0.9492337164750958,0.373134328358209,0.6944444444444444,0.48543689320388356,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
41,3,0.22630256414413452,80.0,226,141,8,411,0.9360022000231211,0.6754359305609902,0.8104325699745547,0.7445652173913043,0.9809069212410502,0.8465499485066941,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
42,3,0.22630256414413452,64.0,503,62,6,49,0.6906594515531259,0.6754359305609902,0.8903225806451613,0.44144144144144143,0.8909090909090909,0.5903614457831325,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
43,3,0.22630256414413452,59.0,229,25,4,51,0.7720404967498188,0.6754359305609902,0.9061488673139159,0.6710526315789473,0.9272727272727272,0.7786259541984732,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
44,3,0.22630256414413452,120.0,571,27,7,21,0.542671400595444,0.6754359305609902,0.9456869009584664,0.4375,0.75,0.5526315789473685,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
45,3,0.22630256414413452,115.0,438,35,6,34,0.6619520256879582,0.6754359305609902,0.9200779727095516,0.4927536231884058,0.85,0.6238532110091743,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
46,3,0.22630256414413452,107.0,609,36,7,164,0.9203756829909542,0.6754359305609902,0.9473039215686274,0.82,0.9590643274853801,0.8840970350404311,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
47,3,0.22630256414413452,48.0,257,62,7,27,0.5240510172468521,0.6754359305609902,0.8045325779036827,0.30337078651685395,0.7941176470588235,0.4390243902439025,0.9082885648503454,0.642369020501139,0.9268693508627773,0.7588294651866802
48,4,0.17798149585723877,43.0,402,7,5,34,0.9241592409251786,0.6753716511182615,0.9732142857142857,0.8292682926829268,0.8717948717948718,0.8500000000000001,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
49,4,0.17798149585723877,109.0,635,55,7,64,0.803465035840851,0.6753716511182615,0.9185282522996058,0.5378151260504201,0.9014084507042254,0.6736842105263158,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
50,4,0.17798149585723877,92.0,367,45,6,183,0.7156619591287745,0.6753716511182615,0.9151414309484193,0.8026315789473685,0.9682539682539683,0.8776978417266187,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
51,4,0.17798149585723877,96.0,831,30,24,56,0.7225328157907657,0.6753716511182615,0.9426142401700319,0.6511627906976745,0.7,0.674698795180723,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
52,4,0.17798149585723877,52.0,984,24,14,22,0.41755842792288067,0.6753716511182615,0.9636015325670498,0.4782608695652174,0.6111111111111112,0.5365853658536586,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
53,4,0.17798149585723877,80.0,249,118,12,407,0.933726820367347,0.6753716511182615,0.8346055979643766,0.7752380952380953,0.9713603818615751,0.8622881355932204,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
54,4,0.17798149585723877,64.0,539,26,8,47,0.6549252098078489,0.6753716511182615,0.9451612903225807,0.6438356164383562,0.8545454545454545,0.7343750000000001,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
55,4,0.17798149585723877,59.0,234,20,5,50,0.8057306579476563,0.6753716511182615,0.919093851132686,0.7142857142857143,0.9090909090909091,0.8,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
56,4,0.17798149585723877,120.0,582,16,8,20,0.5267273337688685,0.6753716511182615,0.9616613418530351,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
57,4,0.17798149585723877,115.0,458,15,12,28,0.6474185540593792,0.6753716511182615,0.9473684210526315,0.6511627906976745,0.7,0.674698795180723,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
58,4,0.17798149585723877,107.0,618,27,7,164,0.9294963483775218,0.6753716511182615,0.9583333333333334,0.8586387434554974,0.9590643274853801,0.9060773480662984,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
59,4,0.17798149585723877,48.0,288,31,10,24,0.5290065337459617,0.6753716511182615,0.8838526912181303,0.43636363636363634,0.7058823529411765,0.5393258426966292,0.9319519058582758,0.7263714474553866,0.9030402629416598,0.8051282051282052
60,5,0.24111488461494446,43.0,402,7,3,36,0.9281213984871601,0.682429668159777,0.9776785714285714,0.8372093023255814,0.9230769230769231,0.878048780487805,0.903427986697365,0.6267837541163557,0.9383730484798686,0.7515630141493914
61,5,0.24111488461494446,109.0,626,64,6,65,0.8003036309586198,0.682429668159777,0.9080157687253614,0.5038759689922481,0.9154929577464789,0.6499999999999999,0.903427986697365,0.6267837541163557,0.9383730484798686,0.7515630141493914
62,5,0.24111488461494446,92.0,352,60,5,184,0.7152211989428324,0.682429668159777,0.891846921797005,0.7540983606557377,0.9735449735449735,0.8498845265588915,0.903427986697365,0.6267837541163557,0.9383730484798686,0.7515630141493914
63,5,0.24111488461494446,96.0,776,85,15,65,0.7568385349389143,0.682429668159777,0.8937300743889479,0.43333333333333335,0.8125,0.5652173913043479,0.903427986697365,0.6267837541163557,0.9383730484798686,0.7515630141493914
