,Epoch,Loss,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score
0,0,0.6866059899330139,59.0,29,225,4,51,0.2034467724912297,0.47820949306585303,0.2588996763754045,0.18478260869565216,0.9272727272727272,0.3081570996978852,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
1,0,0.6866059899330139,80.0,2,365,4,415,0.7095478905847129,0.47820949306585303,0.5305343511450382,0.532051282051282,0.9904534606205251,0.6922435362802334,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
2,0,0.6866059899330139,107.0,354,291,15,156,0.5160865524299132,0.47820949306585303,0.625,0.348993288590604,0.9122807017543859,0.5048543689320388,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
3,0,0.6866059899330139,109.0,490,200,13,58,0.4127821819980249,0.47820949306585303,0.7201051248357424,0.2248062015503876,0.8169014084507042,0.3525835866261398,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
4,0,0.6866059899330139,115.0,135,338,0,40,0.3752227869130649,0.47820949306585303,0.341130604288499,0.10582010582010581,1.0,0.19138755980861244,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
5,0,0.6866059899330139,52.0,841,167,8,28,0.24170852164362336,0.47820949306585303,0.8323754789272031,0.14358974358974358,0.7777777777777778,0.24242424242424238,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
6,0,0.6866059899330139,96.0,492,369,3,77,0.6294916649043929,0.47820949306585303,0.6046758767268863,0.1726457399103139,0.9625,0.2927756653992395,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
7,0,0.6866059899330139,64.0,194,371,10,45,0.35500788068474876,0.47820949306585303,0.38548387096774195,0.10817307692307693,0.8181818181818182,0.1910828025477707,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
8,0,0.6866059899330139,92.0,15,397,0,189,0.4668527172332473,0.47820949306585303,0.33943427620632277,0.3225255972696246,1.0,0.487741935483871,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
9,0,0.6866059899330139,48.0,207,112,17,17,0.10698886488922627,0.47820949306585303,0.6345609065155807,0.13178294573643412,0.5,0.20858895705521474,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
10,0,0.6866059899330139,120.0,365,233,2,26,0.41232067809393436,0.47820949306585303,0.6246006389776357,0.10038610038610038,0.9285714285714286,0.18118466898954702,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
11,0,0.6866059899330139,43.0,370,39,20,19,0.4782452147039917,0.47820949306585303,0.8683035714285714,0.3275862068965517,0.48717948717948717,0.3917525773195877,0.5903044256843183,0.2651371807000946,0.9211175020542317,0.41175390266299355
12,1,0.6789891123771667,59.0,59,195,8,47,0.2599478365467475,0.5068522486268625,0.343042071197411,0.19421487603305784,0.8545454545454545,0.3164983164983165,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
13,1,0.6789891123771667,80.0,2,365,12,407,0.7462789872474772,0.5068522486268625,0.5203562340966921,0.5272020725388601,0.9713603818615751,0.6834592779177162,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
14,1,0.6789891123771667,107.0,398,247,19,152,0.5455967125755735,0.5068522486268625,0.6740196078431373,0.38095238095238093,0.8888888888888888,0.5333333333333333,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
15,1,0.6789891123771667,109.0,639,51,28,43,0.45305989445835293,0.5068522486268625,0.8961892247043364,0.4574468085106383,0.6056338028169014,0.5212121212121211,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
16,1,0.6789891123771667,115.0,186,287,5,35,0.3717688071106587,0.5068522486268625,0.43079922027290446,0.10869565217391304,0.875,0.19337016574585633,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
17,1,0.6789891123771667,52.0,883,125,9,27,0.23396357423900774,0.5068522486268625,0.8716475095785441,0.17763157894736842,0.75,0.2872340425531915,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
18,1,0.6789891123771667,96.0,613,248,12,68,0.6552799156528529,0.5068522486268625,0.7236981934112646,0.21518987341772153,0.85,0.3434343434343435,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
19,1,0.6789891123771667,64.0,319,246,15,40,0.43400123545760977,0.5068522486268625,0.5790322580645161,0.13986013986013987,0.7272727272727273,0.2346041055718475,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
20,1,0.6789891123771667,92.0,40,372,1,188,0.45686217989338107,0.5068522486268625,0.3793677204658902,0.3357142857142857,0.9947089947089947,0.5020026702269692,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
21,1,0.6789891123771667,48.0,262,57,23,11,0.12746419817624566,0.5068522486268625,0.773371104815864,0.16176470588235295,0.3235294117647059,0.2156862745098039,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
22,1,0.6789891123771667,120.0,430,168,2,26,0.5047671258896681,0.5068522486268625,0.7284345047923323,0.13402061855670103,0.9285714285714286,0.23423423423423423,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
23,1,0.6789891123771667,43.0,384,25,19,20,0.48649386263234434,0.5068522486268625,0.9017857142857143,0.4444444444444444,0.5128205128205128,0.47619047619047616,0.6752366334100793,0.3084057971014493,0.8742810188989318,0.45596743089779296
24,2,0.6406895518302917,59.0,250,4,54,1,0.2641268306911972,0.4549216698865272,0.8122977346278317,0.2,0.01818181818181818,0.03333333333333333,0.853031465848043,0.5394431554524362,0.3820870994248151,0.44733044733044736
25,2,0.6406895518302917,80.0,97,270,70,349,0.743700645977381,0.4549216698865272,0.5674300254452926,0.5638126009693053,0.8329355608591885,0.6724470134874759,0.853031465848043,0.5394431554524362,0.3820870994248151,0.44733044733044736
26,2,0.6406895518302917,107.0,638,7,160,11,0.5123347465083248,0.4549216698865272,0.7953431372549019,0.6111111111111112,0.06432748538011696,0.11640211640211638,0.853031465848043,0.5394431554524362,0.3820870994248151,0.44733044733044736
27,2,0.6406895518302917,109.0,683,7,54,17,0.4987133556510957,0.4549216698865272,0.9198423127463863,0.7083333333333334,0.23943661971830985,0.35789473684210527,0.853031465848043,0.5394431554524362,0.3820870994248151,0.44733044733044736
28,2,0.6406895518302917,115.0,443,30,23,17,0.3736822950401037,0.4549216698865272,0.8966861598440545,0.3617021276595745,0.425,0.39080459770114945,0.853031465848043,0.5394431554524362,0.3820870994248151,0.44733044733044736
29,2,0.6406895518302917,52.0,995,13,26,10,0.2554310686394518,0.4549216698865272,0.9626436781609196,0.43478260869565216,0.2777777777777778,0.3389830508474576,0.853031465848043,0.5394431554524362,0.3820870994248151,0.44733044733044736
