,Epoch,Loss,Session,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score
0,0,0.6785546541213989,,59.0,68,186,1,54,0.48390577192862405,0.5770944259312554,0.3948220064724919,0.225,0.9818181818181818,0.36610169491525424,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
1,0,0.6785546541213989,,80.0,0,367,0,419,0.8121739056540206,0.5770944259312554,0.5330788804071247,0.5330788804071247,1.0,0.6954356846473029,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
2,0,0.6785546541213989,,107.0,4,641,0,171,0.5578579116667814,0.5770944259312554,0.21446078431372548,0.2105911330049261,1.0,0.3479145473041709,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
3,0,0.6785546541213989,,109.0,690,0,71,0,0.7223115261906851,0.5770944259312554,0.9067017082785808,,0.0,,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
4,0,0.6785546541213989,,115.0,371,102,21,19,0.3699088414331958,0.5770944259312554,0.7602339181286549,0.15702479338842976,0.475,0.23602484472049687,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
5,0,0.6785546541213989,,52.0,880,128,14,22,0.2194571696984103,0.5770944259312554,0.8639846743295019,0.14666666666666667,0.6111111111111112,0.23655913978494625,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
6,0,0.6785546541213989,,96.0,740,121,27,53,0.6311699066385886,0.5770944259312554,0.842720510095643,0.3045977011494253,0.6625,0.4173228346456693,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
7,0,0.6785546541213989,,64.0,155,410,6,49,0.5079549649668171,0.5770944259312554,0.32903225806451614,0.10675381263616558,0.8909090909090909,0.1906614785992218,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
8,0,0.6785546541213989,,92.0,14,398,0,189,0.5197729180475712,0.5770944259312554,0.33777038269550747,0.3219761499148211,1.0,0.48711340206185566,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
9,0,0.6785546541213989,,48.0,1,318,1,33,0.3036415430274609,0.5770944259312554,0.09631728045325778,0.09401709401709402,0.9705882352941176,0.17142857142857143,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
10,0,0.6785546541213989,,120.0,426,172,0,28,0.31569078443034115,0.5770944259312554,0.7252396166134185,0.14,1.0,0.24561403508771928,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
11,0,0.6785546541213989,,43.0,388,21,18,21,0.6231138544765531,0.5770944259312554,0.9129464285714286,0.5,0.5384615384615384,0.5185185185185186,0.6133282169352776,0.26976032636409997,0.8693508627773213,0.41175325938898616
12,1,0.62305748462677,,59.0,237,17,25,30,0.5968686926801006,0.6298311953832154,0.8640776699029126,0.6382978723404256,0.5454545454545454,0.5882352941176471,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
13,1,0.62305748462677,,80.0,272,95,91,328,0.8499030982709548,0.6298311953832154,0.7633587786259542,0.7754137115839244,0.7828162291169452,0.7790973871733967,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
14,1,0.62305748462677,,107.0,633,12,79,92,0.782498224928938,0.6298311953832154,0.8884803921568627,0.8846153846153846,0.5380116959064327,0.6690909090909091,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
15,1,0.62305748462677,,109.0,690,0,71,0,0.7070886447382133,0.6298311953832154,0.9067017082785808,,0.0,,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
16,1,0.62305748462677,,115.0,469,4,28,12,0.45194243272589624,0.6298311953832154,0.9376218323586745,0.75,0.3,0.4285714285714285,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
17,1,0.62305748462677,,52.0,994,14,26,10,0.26237974526500957,0.6298311953832154,0.9616858237547893,0.4166666666666667,0.2777777777777778,0.33333333333333337,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
18,1,0.62305748462677,,96.0,858,3,57,23,0.6189696104211504,0.6298311953832154,0.9362380446333688,0.8846153846153846,0.2875,0.43396226415094336,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
19,1,0.62305748462677,,64.0,563,2,38,17,0.5314384440794366,0.6298311953832154,0.9354838709677419,0.8947368421052632,0.3090909090909091,0.45945945945945943,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
20,1,0.62305748462677,,92.0,233,179,28,161,0.4961034379641986,0.6298311953832154,0.6555740432612313,0.47352941176470587,0.8518518518518519,0.6086956521739131,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
21,1,0.62305748462677,,48.0,317,2,34,0,0.3451663288828934,0.6298311953832154,0.8980169971671388,0.0,0.0,,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
22,1,0.62305748462677,,120.0,598,0,26,2,0.49392956753712014,0.6298311953832154,0.9584664536741214,1.0,0.07142857142857142,0.13333333333333333,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
23,1,0.62305748462677,,43.0,409,0,36,3,0.7398608265862749,0.6298311953832154,0.9196428571428571,1.0,0.07692307692307693,0.14285714285714288,0.8891020721412126,0.6739562624254473,0.5571076417419885,0.6099865047233467
