,Epoch,Loss,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score
0,0,0.515352189540863,52.0,198,1,3,5,0.6328525641025641,0.583707926686498,0.9806763285024155,0.8333333333333334,0.625,0.7142857142857143,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
1,0,0.515352189540863,80.0,54,22,28,51,0.7539148790422163,0.583707926686498,0.6774193548387096,0.6986301369863014,0.6455696202531646,0.6710526315789473,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
2,0,0.515352189540863,92.0,64,19,13,26,0.5047293468411433,0.583707926686498,0.7377049180327869,0.5777777777777777,0.6666666666666666,0.619047619047619,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
3,0,0.515352189540863,64.0,111,1,10,5,0.46909938318648803,0.583707926686498,0.9133858267716536,0.8333333333333334,0.3333333333333333,0.47619047619047616,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
4,0,0.515352189540863,96.0,158,0,8,0,0.15709221010170324,0.583707926686498,0.9518072289156626,,0.0,,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
5,0,0.515352189540863,107.0,113,19,7,22,0.6744173832907242,0.583707926686498,0.8385093167701864,0.5365853658536586,0.7586206896551724,0.6285714285714286,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
6,0,0.515352189540863,109.0,131,1,9,8,0.742895013339469,0.583707926686498,0.9328859060402684,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
7,0,0.515352189540863,43.0,86,1,9,3,0.7372744430366381,0.583707926686498,0.898989898989899,0.75,0.25,0.375,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
8,0,0.515352189540863,120.0,105,0,4,0,0.274537037037037,0.583707926686498,0.963302752293578,,0.0,,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
9,0,0.515352189540863,115.0,83,2,4,4,0.6318153334786399,0.583707926686498,0.9354838709677419,0.6666666666666666,0.5,0.5714285714285715,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
10,0,0.515352189540863,48.0,55,2,8,0,0.2907926528546662,0.583707926686498,0.8461538461538461,0.0,0.0,,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
11,0,0.515352189540863,59.0,37,2,4,4,0.7313592657342658,0.583707926686498,0.8723404255319149,0.6666666666666666,0.5,0.5714285714285715,0.882,0.6464646464646465,0.5446808510638298,0.5912240184757507
12,1,0.4874115288257599,52.0,198,1,4,4,0.6235805860805861,0.5924719514661508,0.9758454106280193,0.8,0.5,0.6153846153846154,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
13,1,0.4874115288257599,80.0,44,32,28,51,0.774251619319051,0.5924719514661508,0.6129032258064516,0.6144578313253012,0.6455696202531646,0.6296296296296295,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
14,1,0.4874115288257599,92.0,39,44,1,38,0.5375562294308902,0.5924719514661508,0.6311475409836066,0.4634146341463415,0.9743589743589743,0.628099173553719,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
15,1,0.4874115288257599,64.0,109,3,9,6,0.46657194548569725,0.5924719514661508,0.905511811023622,0.6666666666666666,0.4,0.5,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
16,1,0.4874115288257599,96.0,157,1,8,0,0.1070190629728345,0.5924719514661508,0.9457831325301205,0.0,0.0,,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
17,1,0.4874115288257599,107.0,113,19,8,21,0.6070325136359467,0.5924719514661508,0.8322981366459627,0.525,0.7241379310344828,0.6086956521739131,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
18,1,0.4874115288257599,109.0,131,1,8,9,0.745406509813726,0.5924719514661508,0.9395973154362416,0.9,0.5294117647058824,0.6666666666666667,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
19,1,0.4874115288257599,43.0,86,1,6,6,0.7462724775224776,0.5924719514661508,0.9292929292929293,0.8571428571428571,0.5,0.631578947368421,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
20,1,0.4874115288257599,120.0,105,0,4,0,0.44537037037037036,0.5924719514661508,0.963302752293578,,0.0,,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
21,1,0.4874115288257599,115.0,84,1,4,4,0.6287636454369658,0.5924719514661508,0.946236559139785,0.8,0.5,0.6153846153846154,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
22,1,0.4874115288257599,48.0,52,5,5,3,0.2495380538579068,0.5924719514661508,0.8461538461538461,0.375,0.375,0.375,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
23,1,0.4874115288257599,59.0,38,1,4,4,0.699066091954023,0.5924719514661508,0.8936170212765957,0.8,0.5,0.6153846153846154,0.868,0.5725490196078431,0.6212765957446809,0.5959183673469388
