,Epoch,Loss,Session,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score
0,0,0.31632524728775024,,59.0,225,29,14,41,0.6649811322849851,0.8079842463844468,0.86084142394822,0.5857142857142857,0.7454545454545455,0.656,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
1,0,0.31632524728775024,,80.0,211,156,18,401,0.9007324435307267,0.8079842463844468,0.7786259541984732,0.7199281867145422,0.9570405727923628,0.8217213114754098,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
2,0,0.31632524728775024,,107.0,625,20,9,162,0.955112032089493,0.8079842463844468,0.9644607843137255,0.8901098901098901,0.9473684210526315,0.9178470254957507,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
3,0,0.31632524728775024,,109.0,658,32,10,61,0.8803277343212458,0.8079842463844468,0.9448094612352168,0.6559139784946236,0.8591549295774648,0.7439024390243902,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
4,0,0.31632524728775024,,115.0,445,28,10,30,0.6274160780227966,0.8079842463844468,0.9259259259259259,0.5172413793103449,0.75,0.6122448979591838,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
5,0,0.31632524728775024,,52.0,972,36,17,19,0.3286751238048275,0.8079842463844468,0.9492337164750958,0.34545454545454546,0.5277777777777778,0.4175824175824176,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
6,0,0.31632524728775024,,96.0,822,39,28,52,0.6809505129645482,0.8079842463844468,0.9287991498405951,0.5714285714285714,0.65,0.6081871345029239,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
7,0,0.31632524728775024,,64.0,494,71,9,46,0.6946397627511213,0.8079842463844468,0.8709677419354839,0.39316239316239315,0.8363636363636363,0.5348837209302325,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
8,0,0.31632524728775024,,92.0,370,42,24,165,0.8630900375869995,0.8079842463844468,0.8901830282861897,0.7971014492753623,0.873015873015873,0.8333333333333334,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
9,0,0.31632524728775024,,48.0,304,15,12,22,0.47310750574440175,0.8079842463844468,0.9235127478753541,0.5945945945945946,0.6470588235294118,0.619718309859155,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
10,0,0.31632524728775024,,120.0,588,10,12,16,0.6337695865051243,0.8079842463844468,0.9648562300319489,0.6153846153846154,0.5714285714285714,0.5925925925925927,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
11,0,0.31632524728775024,,43.0,399,10,10,29,0.7998389676420786,0.8079842463844468,0.9553571428571429,0.7435897435897436,0.7435897435897436,0.7435897435897437,0.9154515221284216,0.6814621409921671,0.8578471651602301,0.7595489268825029
12,1,0.483670711517334,,59.0,174,80,7,48,0.6905955374827161,0.8076021207183521,0.7184466019417476,0.375,0.8727272727272727,0.5245901639344263,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
13,1,0.483670711517334,,80.0,213,154,11,408,0.898264868260197,0.8076021207183521,0.7900763358778626,0.7259786476868327,0.9737470167064439,0.8318042813455657,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
14,1,0.483670711517334,,107.0,579,66,3,168,0.9457943466803082,0.8076021207183521,0.9154411764705882,0.717948717948718,0.9824561403508771,0.8296296296296296,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
15,1,0.483670711517334,,109.0,638,52,9,62,0.8753059287911925,0.8076021207183521,0.9198423127463863,0.543859649122807,0.8732394366197183,0.6702702702702702,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
16,1,0.483670711517334,,115.0,414,59,5,35,0.6653716487103843,0.8076021207183521,0.8752436647173489,0.3723404255319149,0.875,0.5223880597014925,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
17,1,0.483670711517334,,52.0,923,85,11,25,0.31279961438967446,0.8076021207183521,0.9080459770114943,0.22727272727272727,0.6944444444444444,0.3424657534246575,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
18,1,0.483670711517334,,96.0,753,108,15,65,0.651851995025662,0.8076021207183521,0.869287991498406,0.37572254335260113,0.8125,0.5138339920948616,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
19,1,0.483670711517334,,64.0,493,72,11,44,0.7513344299766738,0.8076021207183521,0.8661290322580645,0.3793103448275862,0.8,0.5146198830409358,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
20,1,0.483670711517334,,92.0,283,129,4,185,0.8779556615573797,0.8076021207183521,0.778702163061564,0.589171974522293,0.9788359788359788,0.73558648111332,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
21,1,0.483670711517334,,48.0,250,69,6,28,0.5140473076694171,0.8076021207183521,0.7875354107648725,0.28865979381443296,0.8235294117647058,0.4274809160305343,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
22,1,0.483670711517334,,120.0,568,30,5,23,0.6259835448382531,0.8076021207183521,0.9440894568690096,0.4339622641509434,0.8214285714285714,0.5679012345679013,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
23,1,0.483670711517334,,43.0,372,37,7,32,0.7929693731499647,0.8076021207183521,0.9017857142857143,0.463768115942029,0.8205128205128205,0.5925925925925926,0.8676132003069839,0.5440891472868217,0.9227608874281019,0.6845473940871685
24,2,0.3972318172454834,,59.0,179,75,8,47,0.6868442966605316,0.7766273580702615,0.7313915857605178,0.38524590163934425,0.8545454545454545,0.5310734463276836,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
25,2,0.3972318172454834,,80.0,232,135,35,384,0.885871494584012,0.7766273580702615,0.7837150127226463,0.7398843930635838,0.9164677804295943,0.8187633262260128,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
26,2,0.3972318172454834,,107.0,599,46,14,157,0.9107245747341606,0.7766273580702615,0.9264705882352942,0.7733990147783252,0.9181286549707602,0.8395721925133691,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
27,2,0.3972318172454834,,109.0,644,46,10,61,0.8485589471774031,0.7766273580702615,0.926412614980289,0.5700934579439252,0.8591549295774648,0.6853932584269662,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
28,2,0.3972318172454834,,115.0,422,51,11,29,0.6179870280132918,0.7766273580702615,0.8791423001949318,0.3625,0.725,0.4833333333333334,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
29,2,0.3972318172454834,,52.0,960,48,16,20,0.3151925890739373,0.7766273580702615,0.9386973180076629,0.29411764705882354,0.5555555555555556,0.3846153846153846,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
30,2,0.3972318172454834,,96.0,796,65,36,44,0.5496727100725396,0.7766273580702615,0.8926673751328374,0.4036697247706422,0.55,0.46560846560846564,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
31,2,0.3972318172454834,,64.0,486,79,12,43,0.6712032533506738,0.7766273580702615,0.853225806451613,0.3524590163934426,0.7818181818181819,0.48587570621468934,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
32,2,0.3972318172454834,,92.0,310,102,12,177,0.8340155127485988,0.7766273580702615,0.8103161397670549,0.6344086021505376,0.9365079365079365,0.7564102564102564,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
33,2,0.3972318172454834,,48.0,284,35,13,21,0.49016648924270084,0.7766273580702615,0.8640226628895185,0.375,0.6176470588235294,0.4666666666666667,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
34,2,0.3972318172454834,,120.0,575,23,12,16,0.5221784516459075,0.7766273580702615,0.9440894568690096,0.41025641025641024,0.5714285714285714,0.47761194029850745,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
35,2,0.3972318172454834,,43.0,371,38,9,30,0.6793334930368874,0.7766273580702615,0.8950892857142857,0.4411764705882353,0.7692307692307693,0.5607476635514018,0.8809158352519826,0.5806997742663657,0.8455217748562038,0.6885245901639343
