,Epoch,Loss,Session,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score
0,0,0.42008358240127563,,59.0,87,167,1,54,0.8319538272269499,0.5994554521004479,0.4563106796116505,0.24434389140271492,0.9818181818181818,0.391304347826087,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
1,0,0.42008358240127563,,80.0,202,165,20,399,0.897773624472481,0.5994554521004479,0.7646310432569975,0.7074468085106383,0.9522673031026253,0.8118006103763987,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
2,0,0.42008358240127563,,107.0,644,1,135,36,0.9069474053919637,0.5994554521004479,0.8333333333333334,0.972972972972973,0.21052631578947367,0.34615384615384615,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
3,0,0.42008358240127563,,109.0,689,1,40,31,0.8559899826107868,0.5994554521004479,0.9461235216819974,0.96875,0.43661971830985913,0.6019417475728155,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
4,0,0.42008358240127563,,115.0,373,100,4,36,0.7528521642134138,0.5994554521004479,0.797270955165692,0.2647058823529412,0.9,0.40909090909090906,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
5,0,0.42008358240127563,,52.0,987,21,15,21,0.37876775165344684,0.5994554521004479,0.9655172413793104,0.5,0.5833333333333334,0.5384615384615384,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
6,0,0.42008358240127563,,96.0,830,31,40,40,0.6333293874017403,0.5994554521004479,0.924548352816153,0.5633802816901409,0.5,0.5298013245033112,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
7,0,0.42008358240127563,,64.0,543,22,18,37,0.7934357690618031,0.5994554521004479,0.9354838709677419,0.6271186440677966,0.6727272727272727,0.6491228070175439,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
8,0,0.42008358240127563,,92.0,194,218,0,189,0.5621295686840565,0.5994554521004479,0.6372712146422629,0.4643734643734644,1.0,0.6342281879194631,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
9,0,0.42008358240127563,,48.0,314,5,26,8,0.4548526770705343,0.5994554521004479,0.9121813031161473,0.6153846153846154,0.23529411764705882,0.3404255319148936,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
10,0,0.42008358240127563,,120.0,569,29,14,14,0.41379025494206817,0.5994554521004479,0.9313099041533547,0.32558139534883723,0.5,0.3943661971830986,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
11,0,0.42008358240127563,,43.0,407,2,22,17,0.7368536126993348,0.5994554521004479,0.9464285714285714,0.8947368421052632,0.4358974358974359,0.5862068965517242,0.8596827833205424,0.5364963503649635,0.7247329498767461,0.6165676336945124
12,1,0.4092654287815094,,59.0,95,159,1,54,0.8265405734531168,0.6113776184169835,0.48220064724919093,0.2535211267605634,0.9818181818181818,0.40298507462686567,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
13,1,0.4092654287815094,,80.0,193,174,17,402,0.898309961998248,0.6113776184169835,0.7569974554707379,0.6979166666666666,0.9594272076372315,0.8080402010050252,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
14,1,0.4092654287815094,,107.0,643,2,127,44,0.9063031425963902,0.6113776184169835,0.8419117647058824,0.9565217391304348,0.2573099415204678,0.4055299539170507,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
15,1,0.4092654287815094,,109.0,690,0,48,23,0.8466751434136993,0.6113776184169835,0.9369250985545335,1.0,0.323943661971831,0.4893617021276596,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
16,1,0.4092654287815094,,115.0,381,92,6,34,0.746803998633274,0.6113776184169835,0.8089668615984406,0.2698412698412698,0.85,0.40963855421686746,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
17,1,0.4092654287815094,,52.0,986,22,15,21,0.38265388973293696,0.6113776184169835,0.9645593869731801,0.4883720930232558,0.5833333333333334,0.5316455696202531,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
18,1,0.4092654287815094,,96.0,831,30,40,40,0.6173758849577446,0.6113776184169835,0.9256110520722636,0.5714285714285714,0.5,0.5333333333333333,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
19,1,0.4092654287815094,,64.0,545,20,18,37,0.7813793194797987,0.6113776184169835,0.9387096774193548,0.6491228070175439,0.6727272727272727,0.6607142857142858,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
20,1,0.4092654287815094,,92.0,176,236,0,189,0.5746157479491966,0.6113776184169835,0.6073211314475874,0.4447058823529412,1.0,0.6156351791530944,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
21,1,0.4092654287815094,,48.0,314,5,23,11,0.472613764277765,0.6113776184169835,0.9206798866855525,0.6875,0.3235294117647059,0.44000000000000006,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
22,1,0.4092654287815094,,120.0,571,27,13,15,0.37986144738180505,0.6113776184169835,0.9361022364217252,0.35714285714285715,0.5357142857142857,0.4285714285714286,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
23,1,0.4092654287815094,,43.0,407,2,22,17,0.7060592880066766,0.6113776184169835,0.9464285714285714,0.8947368421052632,0.4358974358974359,0.5862068965517242,0.8594269634177539,0.5356280193236715,0.7288414133114215,0.6174730247128437
24,2,0.4045761823654175,,59.0,99,155,1,54,0.8292084667070958,0.6084740612101595,0.49514563106796117,0.2583732057416268,0.9818181818181818,0.40909090909090917,0.8604502430289076,0.5388888888888889,0.7173377156943304,0.6154388438491363
