,Epoch,Loss,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score
0,0,0.7051520347595215,52.0,15,192,0,6,0.03613601879691132,0.14804593936802862,0.09859154929577464,0.030303030303030304,1.0,0.05882352941176471,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
1,0,0.7051520347595215,96.0,0,138,0,14,0.09303521718459305,0.14804593936802862,0.09210526315789473,0.09210526315789473,1.0,0.1686746987951807,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
2,0,0.7051520347595215,48.0,2,58,1,7,0.09312365462634338,0.14804593936802862,0.1323529411764706,0.1076923076923077,0.875,0.1917808219178082,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
3,0,0.7051520347595215,107.0,58,61,15,25,0.35252292961544224,0.14804593936802862,0.5220125786163522,0.29069767441860467,0.625,0.39682539682539686,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
4,0,0.7051520347595215,109.0,0,130,0,16,0.12354830724777613,0.14804593936802862,0.1095890410958904,0.1095890410958904,1.0,0.19753086419753085,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
5,0,0.7051520347595215,92.0,2,84,2,38,0.3321768358955703,0.14804593936802862,0.31746031746031744,0.3114754098360656,0.95,0.46913580246913583,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
6,0,0.7051520347595215,80.0,0,59,0,79,0.541369003301996,0.14804593936802862,0.572463768115942,0.572463768115942,1.0,0.7281105990783411,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
7,0,0.7051520347595215,115.0,1,99,0,7,0.17918546207996627,0.14804593936802862,0.07476635514018691,0.0660377358490566,1.0,0.1238938053097345,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
8,0,0.7051520347595215,43.0,0,81,1,9,0.1417099286481309,0.14804593936802862,0.0989010989010989,0.1,0.9,0.18000000000000002,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
9,0,0.7051520347595215,64.0,0,112,0,15,0.18342033878218023,0.14804593936802862,0.11811023622047244,0.11811023622047244,1.0,0.2112676056338028,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
10,0,0.7051520347595215,120.0,0,111,0,6,0.13289980136653234,0.14804593936802862,0.05128205128205128,0.05128205128205128,1.0,0.09756097560975609,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
11,0,0.7051520347595215,59.0,0,46,0,10,0.2396627940786084,0.14804593936802862,0.17857142857142858,0.17857142857142858,1.0,0.30303030303030304,0.20666666666666667,0.16535994297933002,0.9243027888446215,0.28053204353083433
12,1,0.6965323090553284,52.0,96,111,0,6,0.22380283737426593,0.18087806471542411,0.4788732394366197,0.05128205128205128,1.0,0.09756097560975609,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
13,1,0.6965323090553284,96.0,18,120,1,13,0.17259646176063814,0.18087806471542411,0.20394736842105263,0.09774436090225563,0.9285714285714286,0.17687074829931973,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
14,1,0.6965323090553284,48.0,58,2,7,1,0.13566773715038824,0.18087806471542411,0.8676470588235294,0.3333333333333333,0.125,0.18181818181818182,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
15,1,0.6965323090553284,107.0,114,5,35,5,0.43375633455108603,0.18087806471542411,0.7484276729559748,0.5,0.125,0.2,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
16,1,0.6965323090553284,109.0,0,130,0,16,0.13373810214419846,0.18087806471542411,0.1095890410958904,0.1095890410958904,1.0,0.19753086419753085,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
17,1,0.6965323090553284,92.0,56,30,19,21,0.3772583765022617,0.18087806471542411,0.6111111111111112,0.4117647058823529,0.525,0.46153846153846156,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
18,1,0.6965323090553284,80.0,2,57,6,73,0.5761028791972709,0.18087806471542411,0.5434782608695652,0.5615384615384615,0.9240506329113924,0.6985645933014355,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
19,1,0.6965323090553284,115.0,9,91,0,7,0.2036542822257108,0.18087806471542411,0.14953271028037382,0.07142857142857142,1.0,0.13333333333333333,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
20,1,0.6965323090553284,43.0,71,10,8,2,0.19244960988751708,0.18087806471542411,0.8021978021978022,0.16666666666666666,0.2,0.1818181818181818,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
21,1,0.6965323090553284,64.0,6,106,0,15,0.20861489407717754,0.18087806471542411,0.16535433070866143,0.12396694214876033,1.0,0.22058823529411764,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
22,1,0.6965323090553284,120.0,2,109,0,6,0.24574693577400158,0.18087806471542411,0.06837606837606838,0.05217391304347826,1.0,0.09917355371900827,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
23,1,0.6965323090553284,59.0,1,45,0,10,0.4148477729999469,0.18087806471542411,0.19642857142857142,0.18181818181818182,1.0,0.3076923076923077,0.4053333333333333,0.17658930373360243,0.6972111553784861,0.2818035426731079
