,Epoch,Loss,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score
0,0,0.6875337958335876,80.0,0,250,0,1568,0.8343515173812517,0.6365553381606454,0.8624862486248625,0.8624862486248625,1.0,0.9261665682220909,0.5,0.5,1.0,0.6666666666666666
1,0,0.6875337958335876,52.0,0,766,0,196,0.18851149581202992,0.6365553381606454,0.20374220374220375,0.20374220374220375,1.0,0.33851468048359246,0.5,0.5,1.0,0.6666666666666666
2,0,0.6875337958335876,120.0,0,451,0,124,0.23465850559937287,0.6365553381606454,0.21565217391304348,0.21565217391304348,1.0,0.35479256080114446,0.5,0.5,1.0,0.6666666666666666
3,0,0.6875337958335876,107.0,0,458,0,716,0.6245519828206205,0.6365553381606454,0.6098807495741057,0.6098807495741057,1.0,0.7576719576719577,0.5,0.5,1.0,0.6666666666666666
4,0,0.6875337958335876,115.0,0,358,0,196,0.37040242593196404,0.6365553381606454,0.35379061371841153,0.35379061371841153,1.0,0.5226666666666666,0.5,0.5,1.0,0.6666666666666666
5,0,0.6875337958335876,96.0,0,656,0,328,0.32563206149732826,0.6365553381606454,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.5,1.0,0.6666666666666666
6,0,0.6875337958335876,48.0,0,274,0,144,0.3434571688944246,0.6365553381606454,0.3444976076555024,0.3444976076555024,1.0,0.5124555160142349,0.5,0.5,1.0,0.6666666666666666
7,0,0.6875337958335876,92.0,0,332,0,776,0.6770001521881843,0.6365553381606454,0.7003610108303249,0.7003610108303249,1.0,0.8237791932059447,0.5,0.5,1.0,0.6666666666666666
8,0,0.6875337958335876,109.0,0,474,0,276,0.307866652079392,0.6365553381606454,0.368,0.368,1.0,0.5380116959064328,0.5,0.5,1.0,0.6666666666666666
9,0,0.6875337958335876,59.0,0,184,0,192,0.49595939038335246,0.6365553381606454,0.5106382978723404,0.5106382978723404,1.0,0.676056338028169,0.5,0.5,1.0,0.6666666666666666
