,Aggregate Accuracy,Aggregate Avg. Precision,Aggregate F1_Score,Aggregate Precision,Aggregate Recall,Epoch,FN,FP,Individual Accuracy,Individual Avg. Precision,Individual F1-Score,Individual Precision,Individual Recall,Loss,Person,Session,TN,TP
0,0.78125,0.8328111829285763,0.5333333333333333,0.9230769230769231,0.375,0,20,1,0.78125,0.8328111829285763,0.5333333333333333,0.9230769230769231,0.375,0.6192703247070312,43.0,0,63,12
1,1.0,,,,,0,0,0,1.0,,,,,0.6434337496757507,48.0,0,96,0
2,0.9744318181818182,0.8391909351613299,0.7096774193548386,0.7333333333333333,0.6875,0,5,4,0.9744318181818182,0.8391909351613299,0.7096774193548386,0.7333333333333333,0.6875,0.5451833009719849,52.0,0,332,11
3,0.921875,,,0.0,,0,0,30,0.921875,,,0.0,,0.6292398571968079,59.0,0,354,0
4,0.9270833333333334,0.8482618421139824,0.7454545454545455,0.8367346938775511,0.6721311475409836,0,20,8,0.9270833333333334,0.8482618421139824,0.7454545454545455,0.8367346938775511,0.6721311475409836,0.6041656136512756,64.0,0,315,41
5,0.8506944444444444,0.9949110600298381,0.9020501138952164,0.99,0.8284518828451883,0,41,2,0.8506944444444444,0.9949110600298381,0.9020501138952164,0.99,0.8284518828451883,0.6335220336914062,80.0,0,47,198
6,0.5736607142857143,0.807273009621072,0.5375302663438257,0.3687707641196013,0.9910714285714286,0,1,190,0.5736607142857143,0.807273009621072,0.5375302663438257,0.3687707641196013,0.9910714285714286,0.6713241934776306,92.0,0,146,111
7,0.875,,,0.0,,0,0,28,0.875,,,0.0,,0.6029413938522339,96.0,0,196,0
8,0.71875,0.4520551801801802,0.18181818181818182,0.10144927536231885,0.875,0,1,62,0.71875,0.4520551801801802,0.18181818181818182,0.10144927536231885,0.875,0.6563032865524292,107.0,0,154,7
9,1.0,,,,,0,0,0,1.0,,,,,0.5640032291412354,109.0,0,224,0
10,0.9453125,0.7016020155305869,0.5714285714285715,0.4,1.0,0,0,21,0.9453125,0.7016020155305869,0.5714285714285715,0.4,1.0,0.5930435657501221,115.0,0,349,14
11,0.9602272727272727,0.7467049785223289,0.75,0.75,0.75,0,7,7,0.9602272727272727,0.7467049785223289,0.75,0.75,0.75,0.5908453464508057,120.0,0,317,21
12,1.0,,,,,0,0,0,1.0,,,,,0.6002103686332703,43.0,1,160,0
13,0.475,0.18817349698389615,0.31147540983606564,0.21839080459770116,0.5428571428571428,0,16,68,0.475,0.18817349698389615,0.31147540983606564,0.21839080459770116,0.5428571428571428,0.6959207653999329,48.0,1,57,19
14,1.0,,,,,0,0,0,1.0,,,,,0.5421741008758545,52.0,1,160,0
15,0.7471590909090909,0.6065170206412771,0.538860103626943,0.7536231884057971,0.41935483870967744,0,72,17,0.7471590909090909,0.6065170206412771,0.538860103626943,0.7536231884057971,0.41935483870967744,0.6636379361152649,59.0,1,211,52
16,0.9444444444444444,0.09018695426129456,,0.0,0.0,0,15,1,0.9444444444444444,0.09018695426129456,,0.0,0.0,0.6140670776367188,64.0,1,272,0
17,0.5803571428571429,0.7525316719996613,0.45977011494252873,0.8163265306122449,0.32,0,85,9,0.5803571428571429,0.7525316719996613,0.45977011494252873,0.8163265306122449,0.32,0.6735216975212097,80.0,1,90,40
