,Aggregate Accuracy,Aggregate Avg. Precision,Aggregate F1_Score,Aggregate Precision,Aggregate Recall,Epoch,FN,FP,Individual Accuracy,Individual Avg. Precision,Individual F1-Score,Individual Precision,Individual Recall,Loss,Person,Session,TN,TP
0,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,32,0,0.6666666666666666,0.7704510609014386,0.05882352941176471,1.0,0.030303030303030304,1.0520111322402954,43.0,0,63,1
1,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,0,0,1.0,,,,,0.009566561318933964,48.0,0,96,0
2,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,0,22,0.9375,0.9355457668692964,0.6206896551724138,0.45,1.0,0.20516110956668854,52.0,0,312,18
3,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,0,286,0.2552083333333333,,,0.0,,2.508774995803833,59.0,0,98,0
4,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,2,58,0.84375,0.8821996363931754,0.6629213483146068,0.5042735042735043,0.9672131147540983,0.3659951686859131,64.0,0,265,59
5,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,1,36,0.8715277777777778,0.9906620820566762,0.9284332688588008,0.8695652173913043,0.995850622406639,0.2612370252609253,80.0,0,11,240
6,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,0,188,0.5803571428571429,0.3361074133955243,0.5480769230769231,0.37748344370860926,1.0,2.520888566970825,92.0,0,146,114
7,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,0,28,0.875,,,0.0,,0.2718827426433563,96.0,0,196,0
8,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,8,0,0.9642857142857143,0.167978068322779,,,0.0,0.1341022551059723,107.0,0,216,0
9,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,0,0,1.0,,,,,0.038539353758096695,109.0,0,224,0
10,0.8442953752181501,0.5772338127529999,0.6087433191722625,0.5059225512528474,0.7640178878568972,0,0,144,0.625,0.6433276651764046,0.1627906976744186,0.08860759493670886,1.0,0.7493607997894287,115.0,0,226,14
