,Epoch,Loss,Session,Person,TN,FP,FN,TP,Individual Avg. Precision,Aggregate Avg. Precision,Individual Accuracy,Individual Precision,Individual Recall,Individual F1-Score,Aggregate Accuracy,Aggregate Precision,Aggregate Recall,Aggregate F1_Score
0,0,0.3653342127799988,,59.0,129,125,1,54,0.8387923701782196,0.5917330015781197,0.5922330097087378,0.3016759776536313,0.9818181818181818,0.4615384615384615,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
1,0,0.3653342127799988,,80.0,247,120,70,349,0.8549467362466027,0.5917330015781197,0.7582697201017812,0.744136460554371,0.8329355608591885,0.7860360360360359,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
2,0,0.3653342127799988,,107.0,644,1,158,13,0.9122650791164674,0.5917330015781197,0.8051470588235294,0.9285714285714286,0.07602339181286549,0.14054054054054055,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
3,0,0.3653342127799988,,109.0,689,1,43,28,0.852388279789956,0.5917330015781197,0.9421813403416557,0.9655172413793104,0.39436619718309857,0.5599999999999999,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
4,0,0.3653342127799988,,115.0,411,62,8,32,0.68950453674823,0.5917330015781197,0.8635477582846004,0.3404255319148936,0.8,0.47761194029850745,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
5,0,0.3653342127799988,,52.0,991,17,20,16,0.3990594411128607,0.5917330015781197,0.9645593869731801,0.48484848484848486,0.4444444444444444,0.463768115942029,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
6,0,0.3653342127799988,,96.0,853,8,56,24,0.5979118187684807,0.5917330015781197,0.9319872476089267,0.75,0.3,0.4285714285714285,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
7,0,0.3653342127799988,,64.0,555,10,13,42,0.8212513701825983,0.5917330015781197,0.9629032258064516,0.8076923076923077,0.7636363636363637,0.7850467289719626,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
8,0,0.3653342127799988,,92.0,296,116,15,174,0.5903568003974227,0.5917330015781197,0.7820299500831946,0.6,0.9206349206349206,0.7265135699373695,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
9,0,0.3653342127799988,,48.0,315,4,30,4,0.3880006811763605,0.5917330015781197,0.9036827195467422,0.5,0.11764705882352941,0.19047619047619047,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
10,0,0.3653342127799988,,120.0,569,29,11,17,0.6072842002926455,0.5917330015781197,0.9361022364217252,0.3695652173913043,0.6071428571428571,0.45945945945945943,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
11,0,0.3653342127799988,,43.0,409,0,32,7,0.727908308505783,0.5917330015781197,0.9285714285714286,1.0,0.1794871794871795,0.30434782608695654,0.8784855461754925,0.6065442936951316,0.6244864420706656,0.6153846153846154
12,1,0.3691823184490204,,59.0,126,128,1,54,0.8307953337506956,0.6004312156732201,0.5825242718446602,0.2967032967032967,0.9818181818181818,0.45569620253164556,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
13,1,0.3691823184490204,,80.0,227,140,54,365,0.859297349738102,0.6004312156732201,0.7531806615776081,0.7227722772277227,0.8711217183770883,0.7900432900432901,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
14,1,0.3691823184490204,,107.0,644,1,157,14,0.9166381137990867,0.6004312156732201,0.8063725490196079,0.9333333333333333,0.08187134502923976,0.15053763440860216,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
15,1,0.3691823184490204,,109.0,689,1,41,30,0.8500095155552416,0.6004312156732201,0.9448094612352168,0.967741935483871,0.4225352112676056,0.5882352941176471,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
16,1,0.3691823184490204,,115.0,414,59,9,31,0.6708450158318056,0.6004312156732201,0.8674463937621832,0.34444444444444444,0.775,0.4769230769230769,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
17,1,0.3691823184490204,,52.0,991,17,20,16,0.4033322561489996,0.6004312156732201,0.9645593869731801,0.48484848484848486,0.4444444444444444,0.463768115942029,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
18,1,0.3691823184490204,,96.0,854,7,57,23,0.5772512682473642,0.6004312156732201,0.9319872476089267,0.7666666666666667,0.2875,0.4181818181818182,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
19,1,0.3691823184490204,,64.0,546,19,13,42,0.8215804020886931,0.6004312156732201,0.9483870967741935,0.6885245901639344,0.7636363636363637,0.7241379310344828,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
20,1,0.3691823184490204,,92.0,285,127,8,181,0.602056290027603,0.6004312156732201,0.7753743760399334,0.5876623376623377,0.9576719576719577,0.7283702213279679,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
21,1,0.3691823184490204,,48.0,314,5,30,4,0.3855729557772661,0.6004312156732201,0.9008498583569405,0.4444444444444444,0.11764705882352941,0.18604651162790695,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
22,1,0.3691823184490204,,120.0,577,21,11,17,0.6216338101469329,0.6004312156732201,0.9488817891373802,0.4473684210526316,0.6071428571428571,0.5151515151515151,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
23,1,0.3691823184490204,,43.0,408,1,31,8,0.7270922360076715,0.6004312156732201,0.9285714285714286,0.8888888888888888,0.20512820512820512,0.3333333333333333,0.8774622665643387,0.5987795575896262,0.6450287592440427,0.6210443037974683
24,2,0.35844308137893677,,59.0,126,128,1,54,0.7944636026361866,0.6065530481453002,0.5825242718446602,0.2967032967032967,0.9818181818181818,0.45569620253164556,0.8751598874392428,0.5891931902294597,0.6540673788003287,0.6199376947040499
